key,en,pt,es,fr,it
+ Add,,+ Adicionar,+ Añadir,+ Ajouter,+ Aggiungi
+ Add Query,,+ Adicionar consulta,+ Añadir consulta,+ Ajouter une requête,+ Aggiungi interrogazione
"A hands-on tutorial: write, query and debug three small LE programs.",,"Um tutorial prático: escrever, consultar e depurar três pequenos programas LE.","Un tutorial práctico: escribir, consultar y depurar tres pequeños programas LE.","Un tutoriel pratique : écrire, interroger et déboguer trois petits programmes LE.","Un tutorial pratico: scrivere, interrogare ed eseguire il debug di tre piccoli programmi LE."
API Keys &amp; Assistant Settings,,Chaves de API e definições do Assistente,Claves de API y configuración del Asistente,Clés d'API et paramètres de l'Assistant,Chiavi API e impostazioni dell'Assistente
API Keys &amp; Assistant Settings...,,Chaves de API e definições do Assistente...,Claves de API y configuración del Asistente...,Clés d'API et paramètres de l'Assistant...,Chiavi API e impostazioni dell'Assistente...
Add condition,,Adicionar condição,Añadir condición,Ajouter une condition,Aggiungi condizione
Add fact,,Adicionar facto,Añadir hecho,Ajouter un fait,Aggiungi fatto
Add query,,Adicionar consulta,Añadir consulta,Ajouter une requête,Aggiungi interrogazione
Anthropic API Key:,,Chave de API Anthropic:,Clave de API Anthropic:,Clé d'API Anthropic :,Chiave API Anthropic:
"Ask the assistant (e.g., 'Fix indentation', 'Draft a program for...')",,"Peça ao assistente (p.ex., 'Corrige a indentação', 'Esboça um programa para...')","Pida al asistente (p. ej., 'Corrige la indentación', 'Esboza un programa para...')","Demandez à l'assistant (p. ex., « Corrige l'indentation », « Rédige un programme pour... »)","Chiedi all'assistente (es., 'Correggi l'indentazione', 'Abbozza un programma per...')"
Assistant Max Steps (1-50):,,Passos máximos do Assistente (1-50):,Pasos máximos del Asistente (1-50):,Étapes maximales de l'Assistant (1-50) :,Passi massimi dell'Assistente (1-50):
Assistant Model:,,Modelo do Assistente:,Modelo del Asistente:,Modèle de l'Assistant :,Modello dell'Assistente:
Assume fact,,Assumir facto,Asumir hecho,Supposer le fait,Assumi fatto
Auto Layout,,Arranjo automático,Disposición automática,Disposition automatique,Disposizione automatica
Cancel,,Cancelar,Cancelar,Annuler,Annulla
Center,,Centrar,Centrar,Centrer,Centra
Choose a program,,Escolha um programa,Elija un programa,Choisissez un programme,Scegli un programma
Choose a program to explore.,,Escolha um programa para explorar.,Elija un programa para explorar.,Choisissez un programme à explorer.,Scegli un programma da esplorare.
Circle,,Círculo,Círculo,Cercle,Cerchio
Clone Tool,,Ferramenta de clonagem,Herramienta de clonación,Outil de clonage,Strumento di clonazione
Clone tool: click a node to duplicate it (needed when the proof uses the same rule more than once),,Ferramenta de clonagem: clique num nó para o duplicar (necessário quando a prova usa a mesma regra mais de uma vez),Herramienta de clonación: haga clic en un nodo para duplicarlo (necesario cuando la prueba usa la misma regla más de una vez),Outil de clonage : cliquez sur un nœud pour le dupliquer (nécessaire quand la preuve utilise la même règle plus d'une fois),Strumento di clonazione: fai clic su un nodo per duplicarlo (necessario quando la prova usa la stessa regola più di una volta)
Close this panel,,Fechar este painel,Cerrar este panel,Fermer ce panneau,Chiudi questo pannello
Collapse All,,Recolher tudo,Contraer todo,Tout replier,Comprimi tutto
Continue,,Continuar,Continuar,Continuer,Continua
"Continue (F5) — resume running until the next answer is found (or the query finishes). If more solutions remain, stepping/continuing again explores them.",,"Continuar (F5) — retoma a execução até encontrar a próxima resposta (ou a consulta terminar). Se restarem soluções, avançar/continuar de novo explora-as.","Continuar (F5) — reanuda la ejecución hasta encontrar la siguiente respuesta (o hasta que la consulta termine). Si quedan más soluciones, avanzar/continuar de nuevo las explora.","Continuer (F5) — reprend l'exécution jusqu'à ce que la prochaine réponse soit trouvée (ou que la requête se termine). S'il reste des solutions, avancer/continuer de nouveau les explore.","Continua (F5) — riprende l'esecuzione fino a trovare la prossima risposta (o fino al termine dell'interrogazione). Se restano altre soluzioni, avanzare/continuare di nuovo le esplora."
Copy,,Copiar,Copiar,Copier,Copia
Copy Answer,,Copiar resposta,Copiar respuesta,Copier la réponse,Copia risposta
Copy Explanation,,Copiar explicação,Copiar explicación,Copier l'explication,Copia spiegazione
Copy Mermaid,,Copiar Mermaid,Copiar Mermaid,Copier Mermaid,Copia Mermaid
Copy Node,,Copiar nó,Copiar nodo,Copier le nœud,Copia nodo
Copy Scenario,,Copiar cenário,Copiar escenario,Copier le scénario,Copia scenario
Copy URL,,Copiar URL,Copiar URL,Copier l'URL,Copia URL
Copy as Mermaid diagram,,Copiar como diagrama Mermaid,Copiar como diagrama Mermaid,Copier comme diagramme Mermaid,Copia come diagramma Mermaid
"Copy the visible graph as a Mermaid diagram (text), pasteable into GitHub, Obsidian, mermaid.live…",,"Copiar o grafo visível como diagrama Mermaid (texto), colável no GitHub, Obsidian, mermaid.live…","Copiar el grafo visible como diagrama Mermaid (texto), pegable en GitHub, Obsidian, mermaid.live…","Copier le graphe visible comme diagramme Mermaid (texte), collable dans GitHub, Obsidian, mermaid.live…","Copia il grafo visibile come diagramma Mermaid (testo), incollabile in GitHub, Obsidian, mermaid.live…"
Custom Query:,,Consulta personalizada:,Consulta personalizada:,Requête personnalisée :,Interrogazione personalizzata:
Custom Scenario Facts:,,Factos de cenário personalizados:,Hechos de escenario personalizados:,Faits de scénario personnalisés :,Fatti di scenario personalizzati:
Cut,,Cortar,Cortar,Couper,Taglia
Dagre (Hierarchical),,Dagre (hierárquico),Dagre (jerárquico),Dagre (hiérarchique),Dagre (gerarchico)
Dark,,Escuro,Oscuro,Sombre,Scuro
Dark Theme,,Tema escuro,Tema oscuro,Thème sombre,Tema scuro
