functor,types,en,pt,es,fr,it
le_equal_to,any any,{1} is equal to {2},,,,
le_not_equal_to,any any,{1} is not equal to {2}|{1} is different from {2},,,,
le_ge,number number,{1} is greater than or equal to {2},,,,
le_le,number number,{1} is less than or equal to {2},,,,
le_gt,number number,{1} is greater than {2},,,,
le_lt,number number,{1} is less than {2},,,,
le_ge,date date,{1} is after or equal to {2},,,,
le_le,date date,{1} is before or equal to {2},,,,
le_gt,date date,{1} is after {2},,,,
le_lt,date date,{1} is before {2},,,,
le_known,any,{1} is known,,,,
le_is,any any,{1} is {2},,,,
le_is_in,any list,{1} is in {2},,,,
le_is_days_after,date number date,{1} is {2} days after {3},,,,
